Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GNI (current US$) [NY.GNP.MKTP.CD],GNI growth (annual %) [NY.GNP.MKTP.KD.ZG],GNI per capita growth (annual %) [NY.GNP.PCAP.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Argentina,ARG,1979,YR1979,69252328953.3789,10.2227634648727,2501.48075287736,68626165140.837,9.93284973964772,8.3175105129105,2
Argentina,ARG,1980,YR1980,76961923741.9478,1.51878394940456,2738.28472318497,76286574002.8188,1.51431829761184,-0.00755014760403583,2.29999995231628
Argentina,ARG,1981,YR1981,78676842366.4213,-5.18978914005386,2756.39698132362,76842107526.2031,-6.57640285531538,-8.00827968610757,4.5
Argentina,ARG,1982,YR1982,84307486836.724,-0.735659161627297,2907.75762701156,79243829293.0471,-4.18858808505682,-5.67768394039219,4.73000001907349
Argentina,ARG,1983,YR1983,103979106777.911,4.34909327957422,3530.13178314168,98072174234.6778,4.69706049334869,3.05931802490878,4.17000007629395
Argentina,ARG,1984,YR1984,79092001998.032,1.57073870223007,2643.36939813156,74996801894.5786,2.06087485259209,0.470772167642025,3.53999996185303
Argentina,ARG,1985,YR1985,88416668900.2596,-5.18902435215529,2909.51661013406,83672502113.7452,-5.29131723707762,-6.74949355767701,5.30000019073486
Argentina,ARG,1986,YR1986,110934442762.694,6.15337706274559,3595.08589823166,105922220616.456,7.07509455583278,5.44952793456486,4.40000009536743
Argentina,ARG,1987,YR1987,111106191358.197,2.70486882600891,3546.71882015564,105942857983.875,2.603327592714,1.06646588463082,5.30000019073486
Argentina,ARG,1988,YR1988,126206817196.091,-1.08993334173134,3969.32741166282,120715908148.068,-0.807646800678128,-2.27092157976169,6
Argentina,ARG,1989,YR1989,76636898036.4712,-7.15694965554972,2375.33910272555,70219462542.1818,-10.8896439587905,-12.1823582838754,7.30000019073486
Argentina,ARG,1990,YR1990,141352368714.691,-2.46721377637459,4318.77469950773,135150027050.147,1.62977720930499,0.182238434862597,7.05999994277954
Argentina,ARG,1991,YR1991,189719984268.485,9.13311056620103,5715.50439657303,183857364656.529,10.4079805054203,8.86405110296093,..
Argentina,ARG,1992,YR1992,228788617201.696,7.93729155643075,6798.02676272931,224530580052.493,9.14438578732081,7.64859714890873,6.3600001335144
Argentina,ARG,1993,YR1993,236741715015.015,8.20697907221228,6940.35035806909,233743662862.863,8.89036097384215,7.43544481724618,10.1000003814697
Argentina,ARG,1994,YR1994,257440000000,5.83620070368526,7449.48038977242,253743263100,5.66036736265679,4.29307331424455,11.7600002288818
Argentina,ARG,1995,YR1995,258031750000,-2.84520961057081,7373.42824568235,253362890700,-3.19822832378451,-4.40621408102361,18.7999992370605
Argentina,ARG,1996,YR1996,272149750000,5.52668982715234,7683.57406483774,266647700700,5.29264163274755,4.02962989635698,17.1100006103516
Argentina,ARG,1997,YR1997,292859000000,8.1110467707457,8172.66432306173,286641204400,8.00303481143141,6.75438012618224,14.8199996948242
Argentina,ARG,1998,YR1998,298948250000,3.85017885156229,8248.76198864344,291542201400,3.49591358911958,2.33186124502787,12.6499996185303
Argentina,ARG,1999,YR1999,283523000000,-3.3854570406327,7736.36962254054,276059280100,-3.51970213536799,-4.58980270698393,14.0500001907349
Argentina,ARG,2000,YR2000,284203750000,-0.78899893905691,7669.27391554066,276655968900,-0.831529258354507,-1.92707099247313,15
Argentina,ARG,2001,YR2001,268696750000,-4.40883968258557,7170.69467365192,260969968100,-4.61377911785782,-5.66778877783167,17.3199996948242
Argentina,ARG,2002,YR2002,97724004251.8602,-10.8944848285903,2579.19316821209,92763789032.7018,-13.204426698983,-14.1616472876372,19.5900001525879
